Latitude,Longitude
1.347401,103.945289
1.346834,103.945761
1.3476305,103.9461075
1.347294,103.946427
1.3465011,103.9462854
1.3454105,103.9454468
1.3444958,103.948072
1.3228957,103.8455712
1.348188,103.942383
1.3475034,103.943485
1.348385,103.94473
1.348109,103.943659
1.373362,103.8968019
1.374663,103.896376
1.3733172,103.895332
1.350657,103.937465
1.3517539,103.938303
1.352973,103.938309
1.3721095,103.8526723
1.3720001,103.8529979
1.3478138,103.7539445
1.3487369,103.755312
1.336857,103.8846736
1.3420217,103.8482738
1.342398,103.845517
1.347401,103.945289
1.346834,103.945761
1.3476305,103.9461075
1.347294,103.946427
1.3465011,103.9462854
1.3454105,103.9454468
1.3444958,103.948072
1.3516881,103.9413248
1.350657,103.937465
1.3517539,103.938303
1.352973,103.938309
1.373362,103.8968019
1.374663,103.896376
1.3733172,103.895332
1.348188,103.942383
1.3475034,103.943485
1.348385,103.94473
1.3815298,103.8432138
1.379877,103.842309
1.3721095,103.8526723
1.3720001,103.8529979
1.3478138,103.7539445
1.3487369,103.755312
1.336857,103.8846736
1.3420217,103.8482738
1.342398,103.845517
1.2867972,103.6367215
1.439313,103.801863
1.439459,103.8021909
1.347401,103.945289
1.346834,103.945761
1.3476305,103.9461075
1.347294,103.946427
1.3465011,103.9462854
1.3454105,103.9454468
1.3444958,103.948072
1.3516881,103.9413248
1.350657,103.937465
1.3517539,103.938303
1.352973,103.938309
1.373362,103.8968019
1.374663,103.896376
1.3733172,103.895332
1.299809,103.8596409
1.3478138,103.7539445
1.3487369,103.755312
1.3717863,103.7053211
1.3420217,103.8482738
1.342398,103.845517
1.439313,103.801863
1.439459,103.8021909
1.347401,103.945289
1.346834,103.945761
1.3476305,103.9461075
1.347294,103.946427
1.3465011,103.9462854
1.3454105,103.9454468
1.3444958,103.948072
1.3516881,103.9413248
1.350657,103.937465
1.3517539,103.938303
1.352973,103.938309
1.373362,103.8968019
1.374663,103.896376
1.3733172,103.895332
1.299809,103.8596409
1.3478138,103.7539445
1.3487369,103.755312
1.3717863,103.7053211
1.3420217,103.8482738
1.342398,103.845517
1.439313,103.801863
1.439459,103.8021909
1.347401,103.945289
1.346834,103.945761
1.3476305,103.9461075
1.347294,103.946427
1.3465011,103.9462854
1.3454105,103.9454468
1.3444958,103.948072
1.3516881,103.9413248
1.350657,103.937465
1.3517539,103.938303
